time,x,y,z,qx,qy,qz,qw
1032.1015062,0.153883919119835,-0.142084747552872,0.900970697402954,NaN,NaN,NaN,NaN
1032.1181671,0.155852928757668,-0.128484189510345,0.899446487426758,NaN,NaN,NaN,NaN
1032.134841,0.158672496676445,-0.115623280405998,0.89892166852951,NaN,NaN,NaN,NaN
1032.1515071,0.160591334104538,-0.10401526838541,0.897559642791748,NaN,NaN,NaN,NaN
1032.1681161,0.161623075604439,-0.0944907292723656,0.895405650138855,NaN,NaN,NaN,NaN
1032.176476,0.162031605839729,-0.0899335220456123,0.894354164600372,NaN,NaN,NaN,NaN
1032.1931649,0.162696614861488,-0.0800833776593208,0.89200633764267,NaN,NaN,NaN,NaN
1032.2097413,0.163433849811554,-0.0701592639088631,0.889620363712311,NaN,NaN,NaN,NaN
1032.2266477,0.164640173316002,-0.0603969022631645,0.887619197368622,NaN,NaN,NaN,NaN
1032.2432699,0.166178464889526,-0.0505174770951271,0.886019825935364,NaN,NaN,NaN,NaN
1032.2597635,0.167747646570206,-0.0410418659448624,0.884196281433105,NaN,NaN,NaN,NaN
1032.2682435,0.168508529663086,-0.0364418402314186,0.883325636386871,NaN,NaN,NaN,NaN
1032.2848429,0.169814974069595,-0.0270312372595072,0.881308376789093,NaN,NaN,NaN,NaN
1032.301482,0.170875862240791,-0.0176969580352306,0.879049718379974,NaN,NaN,NaN,NaN
1032.3181267,0.171786829829216,-0.00912739150226116,0.876552224159241,NaN,NaN,NaN,NaN
1032.3348055,0.172962725162506,-0.00154089368879795,0.874372661113739,NaN,NaN,NaN,NaN
1032.3514961,0.174761697649956,0.00641555385664105,0.872743904590607,NaN,NaN,NaN,NaN
1032.3681531,0.176993623375893,0.0152725046500564,0.871255695819855,NaN,NaN,NaN,NaN
1032.3764945,0.178091138601303,0.0196349285542965,0.870612978935242,NaN,NaN,NaN,NaN
1032.3931185,0.179897412657738,0.0273662637919188,0.868791520595551,NaN,NaN,NaN,NaN
1032.4097826,0.181396767497063,0.0338554009795189,0.866766929626465,NaN,NaN,NaN,NaN
1032.4264402,0.183173656463623,0.0405674539506435,0.864988744258881,NaN,NaN,NaN,NaN
1032.4431427,0.185532584786415,0.0482279062271118,0.863575041294098,NaN,NaN,NaN,NaN
